payment_id,due_date,amount,currency,recipient,priority,category,account_from,description,can_be_delayed
PAY00059,2026-05-18,45416.72,USD,Sexton-Cooper,normal,merchant_payout,ACC007,Business-focused demand-driven Internet solution,True
PAY00142,2026-05-18,189868.88,KZT,Johnson-Howard,critical,bill_payment,ACC006,Optional dynamic conglomeration,False
PAY00340,2026-05-18,807.19,GBP,Baker-Klein,normal,cashback,ACC009,Reverse-engineered 6thgeneration parallelism,True
PAY00045,2026-05-18,45707.45,GBP,Mendoza-Smith,normal,cashback,ACC003,Synchronized hybrid intranet,True
PAY00288,2026-05-18,13260.08,USD,"Mitchell, Hoffman and Horn",high,bill_payment,ACC012,Triple-buffered executive Graphical User Interface,False
PAY00461,2026-05-18,15445.31,USD,Campos LLC,normal,tax_payment,ACC002,Re-contextualized encompassing capacity,True
PAY00256,2026-05-18,436191.37,GBP,"Mullins, Day and Bradley",critical,bill_payment,ACC005,Expanded transitional circuit,False
PAY00150,2026-05-18,4817.18,EUR,Bailey-Ramirez,normal,salary,ACC015,Networked 24hour adapter,True
PAY00469,2026-05-18,13816.49,GBP,Blair-Hawkins,normal,cashback,ACC014,Profound context-sensitive capability,True
PAY00479,2026-05-18,7887.34,EUR,White-White,normal,salary,ACC008,Quality-focused high-level artificial intelligence,True
PAY00011,2026-05-18,88970.16,GBP,"Brock, George and Roy",high,cashback,ACC005,De-engineered web-enabled process improvement,False
PAY00017,2026-05-18,76879.82,GBP,"Weaver, Salas and Marshall",critical,salary,ACC002,Quality-focused local hardware,False
PAY00366,2026-05-18,100874.34,GBP,"Brown, Schwartz and Young",critical,bill_payment,ACC006,Ameliorated bifurcated info-mediaries,False
PAY00494,2026-05-18,30636.61,GBP,Goodwin LLC,normal,tax_payment,ACC015,Re-engineered national interface,True
PAY00136,2026-05-18,43042.49,KZT,"Sullivan, Raymond and Stokes",high,bill_payment,ACC006,Upgradable client-driven model,False
PAY00360,2026-05-18,28082.08,GBP,"Bennett, Austin and Williams",normal,bill_payment,ACC011,Realigned background complexity,True
PAY00076,2026-05-18,42835.11,KZT,Gill and Sons,low,merchant_payout,ACC004,Persevering eco-centric challenge,True
PAY00132,2026-05-18,16242.58,KZT,"Lopez, Vazquez and Richardson",normal,partner_settlement,ACC019,Advanced didactic synergy,True
PAY00401,2026-05-18,80447.34,GBP,Evans LLC,high,salary,ACC014,Triple-buffered solution-oriented interface,False
PAY00463,2026-05-19,284994.3,USD,"Chambers, Smith and Hansen",critical,partner_settlement,ACC016,Secured disintermediate capability,False
PAY00091,2026-05-19,14817.14,GBP,Rhodes-Mcgrath,low,cashback,ACC019,Organic dynamic approach,True
PAY00074,2026-05-19,95502.18,GBP,Hunt Group,high,partner_settlement,ACC016,Synergistic bandwidth-monitored utilization,False
PAY00285,2026-05-19,22979.15,KZT,"Walker, Martinez and Young",normal,partner_settlement,ACC010,Function-based 3rdgeneration hub,True
PAY00381,2026-05-19,48637.26,KZT,"Ayala, Gibson and Holmes",high,merchant_payout,ACC020,Reverse-engineered eco-centric flexibility,False
PAY00002,2026-05-19,144784.25,USD,"Valenzuela, Bartlett and Holmes",critical,partner_settlement,ACC019,Balanced client-server application,False
PAY00237,2026-05-19,55998.86,USD,Gibbs PLC,high,merchant_payout,ACC001,Exclusive impactful firmware,False
PAY00370,2026-05-19,40109.5,EUR,Garrett-Vaughn,normal,salary,ACC016,Streamlined discrete core,True
PAY00395,2026-05-19,26948.56,USD,"Morales, Schmidt and Turner",normal,tax_payment,ACC012,Object-based leadingedge time-frame,True
PAY00040,2026-05-19,30439.58,GBP,Key and Sons,normal,cashback,ACC013,Realigned hybrid function,True
PAY00032,2026-05-19,18781.09,EUR,Collins and Sons,normal,bill_payment,ACC019,Multi-lateral radical forecast,True
PAY00048,2026-05-19,40357.83,GBP,Howard Group,high,tax_payment,ACC004,Object-based modular infrastructure,False
PAY00143,2026-05-20,73144.57,EUR,"Escobar, Duncan and Burke",high,cashback,ACC013,Open-architected 5thgeneration superstructure,False
PAY00272,2026-05-20,93245.92,KZT,Castro-Kelly,high,cashback,ACC010,Persistent homogeneous architecture,False
PAY00050,2026-05-20,86433.25,EUR,Hanson Ltd,high,bill_payment,ACC002,User-friendly multimedia portal,False
PAY00358,2026-05-20,7261.94,EUR,"Newman, Nielsen and Lam",normal,bill_payment,ACC006,Customer-focused even-keeled matrices,True
PAY00077,2026-05-20,13846.69,KZT,Molina-Garcia,normal,partner_settlement,ACC018,User-friendly 4thgeneration encoding,True
PAY00311,2026-05-20,59615.08,USD,Montgomery Inc,high,partner_settlement,ACC013,Networked actuating parallelism,False
PAY00271,2026-05-20,29344.21,GBP,Taylor PLC,high,salary,ACC012,Switchable optimal neural-net,False
PAY00321,2026-05-20,43418.11,KZT,Anderson LLC,normal,merchant_payout,ACC019,Sharable empowering collaboration,True
PAY00105,2026-05-20,12568.75,GBP,Spencer-Anderson,low,cashback,ACC001,Devolved high-level productivity,True
PAY00163,2026-05-20,1982.27,KZT,Smith LLC,low,partner_settlement,ACC002,Adaptive upward-trending strategy,True
PAY00139,2026-05-20,63173.92,USD,"Williams, Johnston and Gould",critical,salary,ACC005,Networked stable task-force,False
PAY00138,2026-05-20,45963.92,USD,"Lopez, Briggs and Smith",normal,bill_payment,ACC014,Compatible interactive contingency,True
PAY00251,2026-05-21,26767.29,KZT,Brooks Ltd,normal,tax_payment,ACC002,Multi-channeled global adapter,True
PAY00113,2026-05-21,493356.91,EUR,Anderson and Sons,critical,partner_settlement,ACC006,Triple-buffered discrete analyzer,False
PAY00306,2026-05-21,398854.16,GBP,Sandoval Group,critical,tax_payment,ACC012,Polarized contextually-based website,False
PAY00189,2026-05-21,43361.13,KZT,Tucker Group,low,cashback,ACC001,Vision-oriented intangible Graphical User Interface,True
PAY00277,2026-05-21,176094.23,USD,"Wolfe, Jones and Alvarez",critical,merchant_payout,ACC004,Programmable hybrid info-mediaries,False
PAY00474,2026-05-21,347372.11,EUR,Schneider LLC,critical,partner_settlement,ACC020,Open-architected zero-defect capability,False
PAY00021,2026-05-21,33826.56,EUR,Fernandez Ltd,high,bill_payment,ACC006,Multi-channeled demand-driven toolset,False
PAY00282,2026-05-21,9375.41,KZT,Foley PLC,normal,merchant_payout,ACC003,Mandatory incremental open architecture,True
PAY00162,2026-05-21,347629.3,GBP,Wheeler-Curtis,critical,merchant_payout,ACC008,Reactive well-modulated productivity,False
PAY00421,2026-05-21,83029.44,KZT,Rivera-Benson,high,tax_payment,ACC007,Distributed encompassing Internet solution,False
PAY00437,2026-05-21,14749.18,USD,"Butler, Mitchell and Parker",low,merchant_payout,ACC017,Enhanced systemic service-desk,True
PAY00126,2026-05-21,364712.4,KZT,"Orozco, Sullivan and Robles",critical,salary,ACC004,Vision-oriented methodical productivity,False
PAY00219,2026-05-21,75741.5,USD,Guerra-Atkinson,high,partner_settlement,ACC001,Public-key responsive attitude,False
PAY00341,2026-05-21,1719.1,GBP,"Owens, Hill and Foley",normal,bill_payment,ACC019,Customer-focused clear-thinking contingency,True
PAY00383,2026-05-22,88271.9,GBP,"Riley, Ellis and Johnson",high,bill_payment,ACC019,Balanced motivating help-desk,False
PAY00394,2026-05-22,33781.52,EUR,Garcia PLC,normal,partner_settlement,ACC007,Reverse-engineered mission-critical function,True
PAY00137,2026-05-22,68348.07,KZT,Carter-Navarro,high,merchant_payout,ACC019,User-friendly fault-tolerant benchmark,False
PAY00116,2026-05-22,31714.06,USD,Foster-Serrano,high,salary,ACC002,Adaptive neutral product,False
PAY00053,2026-05-22,28930.25,GBP,Stevens LLC,normal,partner_settlement,ACC015,Persistent solution-oriented artificial intelligence,True
PAY00184,2026-05-22,27428.77,KZT,Todd Ltd,normal,merchant_payout,ACC006,User-friendly interactive benchmark,True
PAY00015,2026-05-22,251690.19,KZT,"Munoz, Washington and Kirby",critical,salary,ACC011,Intuitive static paradigm,False
