transaction_id,datetime,type,amount,currency,account_id,payment_system,delay_days,category,status,direction,counterparty,description
TXN00050420,2025-11-18 03:12:18,withdrawal,5.61,EUR,ACC020,SWIFT,2,merchant_payment,completed,outflow,Davis-Chavez,brand ubiquitous synergies
TXN00097803,2025-11-18 03:42:18,partner_payment,177.35,KZT,ACC017,ACH,1,client_transfer,pending,outflow,"Hunter, Long and Rice",cultivate global initiatives
TXN00024322,2025-11-18 04:01:18,card_payment,3530.65,KZT,ACC014,SWIFT,2,salary,completed,outflow,"Jacobs, Cole and Miller",disintermediate robust schemas
TXN00034519,2025-11-18 04:26:18,withdrawal,18.02,GBP,ACC017,CARD_CLEARING,5,partner_transfer,completed,outflow,Trevino-Love,extend e-business e-business
TXN00056074,2025-11-18 04:42:18,cashback_payout,446.6,EUR,ACC012,SWIFT,2,client_transfer,completed,outflow,Fisher PLC,strategize one-to-one niches
TXN00011859,2025-11-18 05:03:18,cashback_payout,99.17,USD,ACC012,CARD_CLEARING,3,salary,completed,outflow,"Ortega, Miller and Brown",strategize integrated e-services
TXN00050336,2025-11-18 05:06:18,deposit,34934.69,EUR,ACC001,SEPA,1,cashback,completed,inflow,Leonard-Hensley,orchestrate e-business vortals
TXN00089885,2025-11-18 05:11:18,card_payment,175.26,EUR,ACC013,CARD_CLEARING,5,salary,completed,outflow,"Williams, Higgins and Berry",utilize vertical models
TXN00064027,2025-11-18 05:15:18,card_payment,1187.25,USD,ACC001,SEPA,1,merchant_payment,completed,outflow,"Brooks, White and Osborn",strategize collaborative e-commerce
TXN00079418,2025-11-18 05:33:18,deposit,55.64,KZT,ACC006,INSTANT,0,client_transfer,completed,inflow,"Green, Zavala and Moreno",reinvent 24/365 vortals
TXN00033315,2025-11-18 05:42:18,card_payment,54.81,USD,ACC005,CARD_CLEARING,5,bill_payment,completed,outflow,Cross Inc,strategize next-generation solutions
TXN00087417,2025-11-18 05:43:18,card_payment,12.29,EUR,ACC002,INSTANT,0,cashback,completed,outflow,Curry Ltd,synthesize B2B e-tailers
TXN00083894,2025-11-18 05:53:18,merchant_settlement,9651.07,EUR,ACC011,INSTANT,0,salary,completed,outflow,Trevino PLC,grow seamless solutions
TXN00031464,2025-11-18 06:00:18,cashback_payout,330.65,KZT,ACC019,CARD_CLEARING,5,bill_payment,completed,outflow,"Stevenson, Yang and Moore",extend innovative vortals
TXN00002674,2025-11-18 06:03:18,merchant_settlement,18585.59,EUR,ACC007,INSTANT,0,salary,completed,outflow,"Kennedy, Cohen and Pennington",architect B2C vortals
TXN00015121,2025-11-18 06:14:18,merchant_settlement,44800.32,EUR,ACC006,ACH,1,partner_transfer,completed,outflow,"Martin, Hawkins and Dougherty",cultivate wireless info-mediaries
TXN00015802,2025-11-18 06:15:18,partner_payment,3335.33,EUR,ACC006,INSTANT,0,client_transfer,completed,outflow,"Cardenas, Mitchell and Vega",empower frictionless infrastructures
TXN00003773,2025-11-18 06:28:18,cashback_payout,323.52,GBP,ACC012,INSTANT,0,salary,completed,outflow,Zavala LLC,benchmark interactive functionalities
TXN00060101,2025-11-18 06:39:18,withdrawal,5372.65,GBP,ACC007,ACH,1,merchant_payment,completed,outflow,Dyer Ltd,engage plug-and-play networks
TXN00034121,2025-11-18 06:39:18,partner_payment,53.22,KZT,ACC005,SEPA,1,partner_transfer,completed,outflow,Holmes-Harrison,deliver innovative infrastructures
TXN00018210,2025-11-18 06:50:18,partner_payment,532.67,EUR,ACC003,INSTANT,0,cashback,completed,outflow,Williams and Sons,deliver B2B portals
TXN00035268,2025-11-18 06:51:18,transfer,99.14,GBP,ACC010,INSTANT,0,cashback,completed,inflow,"Sanchez, Gaines and Coleman",synergize rich initiatives
TXN00017450,2025-11-18 07:07:18,partner_payment,396.96,EUR,ACC002,ACH,1,partner_transfer,completed,outflow,"Phillips, Rivera and Murray",empower 24/7 supply-chains
TXN00003034,2025-11-18 07:09:18,merchant_settlement,96136.27,GBP,ACC013,SWIFT,3,merchant_payment,completed,outflow,Austin-Hodges,visualize front-end vortals
TXN00091514,2025-11-18 07:11:18,merchant_settlement,36682.75,EUR,ACC006,SWIFT,3,salary,completed,outflow,Parks-Walls,engage open-source interfaces
TXN00088908,2025-11-18 07:22:18,merchant_settlement,8957.35,EUR,ACC010,SEPA,1,cashback,pending,outflow,Miller LLC,unleash integrated ROI
TXN00087262,2025-11-18 07:30:18,merchant_settlement,95614.19,EUR,ACC014,SEPA,1,cashback,processing,outflow,Davis-Hubbard,integrate integrated functionalities
TXN00089392,2025-11-18 07:36:18,merchant_settlement,78762.38,EUR,ACC004,SWIFT,2,merchant_payment,pending,outflow,Jones LLC,grow frictionless solutions
TXN00050187,2025-11-18 07:38:18,deposit,404.61,KZT,ACC012,CARD_CLEARING,5,partner_transfer,pending,inflow,Anthony Inc,repurpose B2B web services
TXN00037407,2025-11-18 07:43:18,merchant_settlement,68087.76,KZT,ACC014,CARD_CLEARING,4,bill_payment,completed,outflow,Knight-Phillips,revolutionize world-class architectures
TXN00013193,2025-11-18 07:43:18,transfer,3709.84,USD,ACC019,SWIFT,3,client_transfer,completed,inflow,"Ryan, Adkins and Craig",drive mission-critical e-markets
TXN00076487,2025-11-18 07:45:18,partner_payment,1358.2,GBP,ACC010,CARD_CLEARING,5,merchant_payment,completed,outflow,Hall-Davis,expedite front-end portals
TXN00088709,2025-11-18 07:48:18,deposit,604.78,EUR,ACC001,SEPA,1,partner_transfer,processing,inflow,Harrison Ltd,brand global e-commerce
TXN00069674,2025-11-18 07:58:18,card_payment,188.94,GBP,ACC009,INSTANT,0,client_transfer,completed,outflow,White Group,harness open-source users
TXN00084663,2025-11-18 08:01:18,partner_payment,291.51,USD,ACC014,SEPA,1,partner_transfer,completed,outflow,Valenzuela and Sons,e-enable strategic niches
TXN00082431,2025-11-18 08:02:18,deposit,38434.58,EUR,ACC006,INSTANT,0,merchant_payment,processing,inflow,Clay Ltd,evolve user-centric web services
TXN00022239,2025-11-18 08:05:18,withdrawal,102.62,KZT,ACC014,ACH,1,cashback,completed,outflow,Garza and Sons,brand real-time models
